,created_at,cultivation_id,cultivation_name,harvest date,grow start date,yield
0,2020-10-26 21:20:04.316752,18902,A,2020-05-23 00:00:00.000000,04/04/19,52.4
1,2020-10-26 21:20:09.122294,18932,B,2020-02-06 00:00:00.000000,11/14/18,138.5
3,2020-10-26 21:20:21.627212,19009,C,2020-05-19 00:00:00.000000,2019-03-16 00:00:00.000000,72.6
5,2020-10-26 21:20:25.007851,19030,D,2020-02-27 00:00:00.000000,2018-12-12 00:00:00.000000,103.6
7,2020-10-26 21:20:40.866737,19129,E,2020-01-07 00:00:00.000000,2018-10-08 00:00:00.000000,141
